A7YPWY1	OC-514	OC-514 Кришка оригiналів	 	5973,33	1194,67	7168	56,00
A0W4WY3	WT-506	WT-506 Робочий стіл для розміщення AU-102	 	8960	1792	10752	84,00
A64TWY3	KP-101	KP-101 Апаратна клавіатура на 10 клавіш	 	3520	704	4224	33,00
A87EWY2	UK-215	UK-215 Внутрішній Wi-Fi (Remote Access та Wi-Fi) (потрібен EK-608 або EK-609)	 	19733,33	3946,67	23680	185,00
996908-000040		Шнур живлення	 	320	64	384	3,00
996908-000090		Кабель UTP 3,0 м	 	213,33	42,67	256	2,00
9967002050	OC-511	OC-511 Кришка оригiналів	 	5973,33	1194,67	7168	56,00
A87RWY1	DF-629	DF-629 Автоподавач оригіналів сканування двостор. реверсний, 100 арк., 80/37 ориг./хв - одностор/дуплекс	1000000	59200	11840	71040	555,00
A85GWY2	DF-704	DF-704 Автоподавач оригіналів сканування двостор. DUALSCAN, 100 арк., 80/160 ориг./хв. - одностор./двостор.	1000000	108800	21760	130560	1020,00
A2XMWY7	PC-110 	PC-110 Універсальна касета для паперу мiсткiстю 500 аркушiв (A5 - А3)	 	56000	11200	67200	525,00
A2XMWY8	PC-210 	PC-210 Універсальна касета для паперу мiсткiстю 2x500 аркушiв (A5 - А3)	 	83733,33	16746,67	100480	785,00
A2XMWY9	PC-410 	PC-410 Касета великої місткості 2500 аркушiв (А4)	 	83733,33	16746,67	100480	785,00
996908-G109677		Замок касет та тонерів універсальний	 	8533,33	1706,67	10240	80,00
9967003545	DK-510  	DK-510x Тумба-пiдставка +308/+368, (+)224e/(+)284e/(+)364e/(+)454e/(+)554e	 	13653,33	2730,67	16384	128,00
A87VWY1	LU-302	LU-302 Касета великої місткості 3000 аркушiв (А4, 52-256 г/м2).Не використовується разом з DK-510	 	138666,67	27733,33	166400	1300,00
9967001961	BT-C1e	BT-C1e Додатковий лоток подавання банерів (297 Х 1 200 мм) макс. 30 арк.	 	16533,33	3306,67	19840	155,00
A2YVWY2	JS-506	JS-506 Лоток розділення завдань	 	32000	6400	38400	300,00
A2YUWY2	FS-533	FS-533 Фінішер-степлер внутрішній. Скоби: SK-602. Сортування/ Групування зі зсувом, зшивання до 50 арк 52-90 г/м2 (Без обробки - 52-300 г/м2). Вих. міст. 500 арк. Зшивання - кутове та по краю листа 2-точкове. Перфорація (з опц. PK-519).	 	71466,67	14293,33	85760	670,00
A3EPWY2	FS-534	FS-534 Фінішер зовнішній. скоби: SK-602. Фукції - Сортування /Групування зі зсувом, зшивання (stapling), перфорація (з PK-520). Макс. зшитих листів - 50 арк.. Вихідна місткість (для листів 80 г/м2) - 3,300 арк.. Мін/ Макс щільність паперу - 52/300 г/м2. Зшивання (Stapling) - Кутове, по краю листа 2точки,. Створення готових брошюр - ні. Перфорація - ТАК (з PK-520). Фальцювання 2Х (по середині) - ні. Фальцювання 3Х (Z-тип) - ні. Фальцювання 3Х (П-тип) - ні. Вкладання обкладинки (Post insertion) - ні	 	104533,33	20906,67	125440	980,00
A87JWY2	RU-513	RU-513 Модуль просування паперу (обов'язковий до FS-534/SD)	 	13866,67	2773,33	16640	130,00
A3EPWYC	FS-534SD	FS-534SD Фінішер зовнішній з буклетним пристроєм. скоби: SK-602. Фукції - Сортування /Групування зі зсувом, зшивання (stapling), перфорація (з PK-520), фальцювання, готові брошури. Макс. зшитих листів - 50 арк.. Вихідна місткість (для листів 80 г/м2) - 3,300 арк.. Мін/ Макс щільність паперу - 52/300 г/м2. Зшивання (Stapling) - Кутове, по краю листа 2точки, по центру листа 2точки буклетне. Створення готових брошюр - ТАК. Перфорація - ТАК (з PK-520). Фальцювання 2Х (по середині) - ТАК. Фальцювання 3Х (Z-тип) - ні. Фальцювання 3Х (П-тип) - ТАК. Вкладання обкладинки (Post insertion) - ні	 	183466,67	36693,33	220160	1720,00
A87JWY2	RU-513	RU-513 Модуль просування паперу (обов'язковий до FS-534/SD)	 	13866,67	2773,33	16640	130,00
A3EUW22	PK-519	PK-519 Перфоратор (2/4 точки), опція до FS-533	 	27733,33	5546,67	33280	260,00
A3ETW21	PK-520	PK-520 Перфоратор (2/4 точки), опція до FS-534	 	32000	6400	38400	300,00
A4MMWY2	SC-508	SC-508 Модуль захисту від копіювання (потрібно 2 од., якщо є DF-704)	 	57600	11520	69120	540,00
A888WY1	HD-524	HD-524 Резервний HDD (HDD mirroring) для гарантії захисту даних	 	19200	3840	23040	180,00
A9W7WY2	UK-215	UK-215 Внутрішній Wi-Fi (Remote Access та Wi-Fi)	 	19733,33	3946,67	23680	185,00
A0X9WY1	AU-102	AU-102 Пристрій ідентифікації (сканер капілярів пальця)	 	69866,67	13973,33	83840	655,00
A0W4WY3	WT-506	WT-506 Робочий стіл для розміщення пристоїв аутентифікації (AU-102)	 	8960	1792	10752	84,00
A88AWY2	EK-608	EK-608 USB інтерфейс для USB клав./кардридера	 	9706,67	1941,33	11648	91,00
A87DWY1	EK-609	EK-609 USB інтерфейс для USB клав./кардридера, bluetooth, speakers	 	19733,33	3946,67	23680	185,00
A4NRWY1	KH-102	KH-102 Тримач для клавіатури	 	6506,67	1301,33	7808	61,00
A883021	FK-514	FK-514 Факс модуль (для другої лінії факсу необх другий модуль FK-514)	 	83200	16640	99840	780,00
4614506	SP-501	SP-501 Х-штамп відсканованих оригіналів факсу (1 червона х-печатка, монтується у DF)	 	2880	576	3456	27,00
A64TWY3	KP-101	KP-101 Апаратна клавіатура на 10 клавіш	 	3520	704	4224	33,00
996908-TL-WR702N		Маршрутизатор WIFI TL-WR702N (10/100Mbps WAN/LAN, 802.11b/g/n до 150Mbps)	 	2986,67	597,33	3584	28,00
A161192100		Стилус ineo	 	4373,33	874,67	5248	41,00
4623485		Key Counter Connection	 	10880	2176	13056	102,00
996908-000040		Шнур живлення	 	320	64	384	3,00
996908-000090		Кабель UTP 3,0 м	 	213,33	42,67	256	2,00
9967002050	OC-511	OC-511 Кришка оригiналів	 	5973,33	1194,67	7168	56,00
A87RWY1	DF-629	DF-629 Автоподавач оригіналів сканування двостор. реверсний, 100 арк., 80/37 ориг./хв - одностор/дуплекс	1000000	59200	11840	71040	555,00
A85GWY2	DF-704	DF-704 Автоподавач оригіналів сканування двостор. DUALSCAN, 100 арк., 80/160 ориг./хв. - одностор./двостор.	1000000	108800	21760	130560	1020,00
A2XMWY7	PC-110 	PC-110 Універсальна касета для паперу мiсткiстю 500 аркушiв (A5 - А3)	 	56000	11200	67200	525,00
A2XMWY8	PC-210 	PC-210 Універсальна касета для паперу мiсткiстю 2x500 аркушiв (A5 - А3)	 	83733,33	16746,67	100480	785,00
A2XMWY9	PC-410 	PC-410 Касета великої місткості 2500 аркушiв (А4)	 	83733,33	16746,67	100480	785,00
996908-G109677		Замок касет та тонерів універсальний	 	8533,33	1706,67	10240	80,00
9967003545	DK-510  	DK-510x Тумба-пiдставка +308/+368, (+)224e/(+)284e/(+)364e/(+)454e/(+)554e	 	13653,33	2730,67	16384	128,00
A87VWY1	LU-302	LU-302 Касета великої місткості 3000 аркушiв (А4, 52-256 г/м2). Не використовується разом з DK-510	 	138666,67	27733,33	166400	1300,00
9967001961	BT-C1e	BT-C1e Додатковий лоток подавання банерів (297 Х 1 200 мм) макс. 30 арк.	 	16533,33	3306,67	19840	155,00
A2YVWY2	JS-506	JS-506 Лоток розділення завдань	 	32000	6400	38400	300,00
A2YUWY2	FS-533	FS-533 Фінішер-степлер внутрішній. Скоби: SK-602. Сортування/ Групування зі зсувом, зшивання до 50 арк 52-90 г/м2 (Без обробки - 52-300 г/м2). Вих. міст. 500 арк. Зшивання - кутове та по краю листа 2-точкове. Перфорація (з опц. PK-519).	 	71466,67	14293,33	85760	670,00
A3EPWY2	FS-534	FS-534 Фінішер зовнішній. скоби: SK-602. Фукції - Сортування /Групування зі зсувом, зшивання (stapling), перфорація (з PK-520). Макс. зшитих листів - 50 арк.. Вихідна місткість (для листів 80 г/м2) - 3,300 арк.. Мін/ Макс щільність паперу - 52/300 г/м2. Зшивання (Stapling) - Кутове, по краю листа 2точки,. Створення готових брошюр - ні. Перфорація - ТАК (з PK-520). Фальцювання 2Х (по середині) - ні. Фальцювання 3Х (Z-тип) - ні. Фальцювання 3Х (П-тип) - ні. Вкладання обкладинки (Post insertion) - ні	 	104533,33	20906,67	125440	980,00
A87JWY2	RU-513	RU-513 Модуль просування паперу (обов'язковий до FS-534/SD)	 	13866,67	2773,33	16640	130,00
A3EPWYC	FS-534SD	FS-534SD Фінішер зовнішній з буклетним пристроєм. скоби: SK-602. Фукції - Сортування /Групування зі зсувом, зшивання (stapling), перфорація (з PK-520), фальцювання, готові брошури. Макс. зшитих листів - 50 арк.. Вихідна місткість (для листів 80 г/м2) - 3,300 арк.. Мін/ Макс щільність паперу - 52/300 г/м2. Зшивання (Stapling) - Кутове, по краю листа 2точки, по центру листа 2точки буклетне. Створення готових брошюр - ТАК. Перфорація - ТАК (з PK-520). Фальцювання 2Х (по середині) - ТАК. Фальцювання 3Х (Z-тип) - ні. Фальцювання 3Х (П-тип) - ТАК. Вкладання обкладинки (Post insertion) - ні	 	183466,67	36693,33	220160	1720,00
A87JWY2	RU-513	RU-513 Модуль просування паперу (обов'язковий до FS-534/SD)	 	13866,67	2773,33	16640	130,00
A3EUW22	PK-519	PK-519 Перфоратор (2/4 точки), опція до FS-533	 	27733,33	5546,67	33280	260,00
A3ETW21	PK-520	PK-520 Перфоратор (2/4 точки), опція до FS-534	 	32000	6400	38400	300,00
A4MMWY2	SC-508	SC-508 Модуль захисту від копіювання (потрібно 2 од., якщо є DF-704)	 	57600	11520	69120	540,00
A888WY1	HD-524	HD-524 Резервний HDD (HDD mirroring) для гарантії захисту даних	 	19200	3840	23040	180,00
A9W7WY2	UK-215	UK-215 Внутрішній Wi-Fi (Remote Access та Wi-Fi)	 	19733,33	3946,67	23680	185,00
A0X9WY1	AU-102	AU-102 Пристрій ідентифікації (сканер капілярів пальця)	 	69866,67	13973,33	83840	655,00
A0W4WY3	WT-506	WT-506 Робочий стіл для розміщення пристоїв аутентифікації (AU-102)	 	8960	1792	10752	84,00
A88AWY2	EK-608	EK-608 USB інтерфейс для USB клав./кардридера	 	9706,67	1941,33	11648	91,00
A87DWY1	EK-609	EK-609 USB інтерфейс для USB клав./кардридера, bluetooth, speakers	 	19733,33	3946,67	23680	185,00
A4NRWY1	KH-102	KH-102 Тримач для клавіатури	 	6506,67	1301,33	7808	61,00
A883021	FK-514	FK-514 Факс модуль (для другої лінії факсу необх другий модуль FK-514)	 	83200	16640	99840	780,00
4614506	SP-501	SP-501 Х-штамп відсканованих оригіналів факсу (1 червона х-печатка, монтується у DF)	 	2880	576	3456	27,00
A64TWY3	KP-101	KP-101 Апаратна клавіатура на 10 клавіш	 	3520	704	4224	33,00
996908-TL-WR702N		Маршрутизатор WIFI TL-WR702N (10/100Mbps WAN/LAN, 802.11b/g/n до 150Mbps)	 	2986,67	597,33	3584	28,00
A161192100		Стилус ineo	 	4373,33	874,67	5248	41,00
4623485		Key Counter Connection	 	10880	2176	13056	102,00
996908-000040		Шнур живлення	 	320	64	384	3,00
996908-000090		Кабель UTP 3,0 м	 	213,33	42,67	256	2,00
9967002050	OC-511	OC-511 Кришка оригiналів	 	5973,33	1194,67	7168	56,00
A87RWY1	DF-629	DF-629 Автоподавач оригіналів сканування двостор. реверсний, 100 арк., 80/37 ориг./хв - одностор/дуплекс	1000000	59200	11840	71040	555,00
A85GWY2	DF-704	DF-704 Автоподавач оригіналів сканування двостор. DUALSCAN, 100 арк., 80/160 ориг./хв. - одностор./двостор.	1000000	108800	21760	130560	1020,00
A2XMWY7	PC-110 	PC-110 Універсальна касета для паперу мiсткiстю 500 аркушiв (A5 - А3)	 	56000	11200	67200	525,00
A2XMWY8	PC-210 	PC-210 Універсальна касета для паперу мiсткiстю 2x500 аркушiв (A5 - А3)	 	83733,33	16746,67	100480	785,00
A2XMWY9	PC-410 	PC-410 Касета великої місткості 2500 аркушiв (А4)	 	83733,33	16746,67	100480	785,00
996908-G109677		Замок касет та тонерів універсальний	 	8533,33	1706,67	10240	80,00
9967003545	DK-510  	DK-510x Тумба-пiдставка +308/+368, (+)224e/(+)284e/(+)364e/(+)454e/(+)554e	 	13653,33	2730,67	16384	128,00
A87VWY1	LU-302	LU-302 Касета великої місткості 3000 аркушiв (А4, 52-256 г/м2). Не використовується разом з DK-510	 	138666,67	27733,33	166400	1300,00
9967001961	BT-C1e	BT-C1e Додатковий лоток подавання банерів (297 Х 1 200 мм) макс. 30 арк.	 	16533,33	3306,67	19840	155,00
A2YVWY2	JS-506	JS-506 Лоток розділення завдань	 	32000	6400	38400	300,00
A2YUWY2	FS-533	FS-533 Фінішер-степлер внутрішній. Скоби: SK-602. Сортування/ Групування зі зсувом, зшивання до 50 арк 52-90 г/м2 (Без обробки - 52-300 г/м2). Вих. міст. 500 арк. Зшивання - кутове та по краю листа 2-точкове. Перфорація (з опц. PK-519).	 	71466,67	14293,33	85760	670,00
A3EPWY2	FS-534	FS-534 Фінішер зовнішній. скоби: SK-602. Фукції - Сортування /Групування зі зсувом, зшивання (stapling), перфорація (з PK-520). Макс. зшитих листів - 50 арк.. Вихідна місткість (для листів 80 г/м2) - 3,300 арк.. Мін/ Макс щільність паперу - 52/300 г/м2. Зшивання (Stapling) - Кутове, по краю листа 2точки,. Створення готових брошюр - ні. Перфорація - ТАК (з PK-520). Фальцювання 2Х (по середині) - ні. Фальцювання 3Х (Z-тип) - ні. Фальцювання 3Х (П-тип) - ні. Вкладання обкладинки (Post insertion) - ні	 	104533,33	20906,67	125440	980,00
A87JWY2	RU-513	RU-513 Модуль просування паперу (обов'язковий до FS-534/SD)	 	13866,67	2773,33	16640	130,00
A3EPWYC	FS-534SD	FS-534SD Фінішер зовнішній з буклетним пристроєм. скоби: SK-602. Фукції - Сортування /Групування зі зсувом, зшивання (stapling), перфорація (з PK-520), фальцювання, готові брошури. Макс. зшитих листів - 50 арк.. Вихідна місткість (для листів 80 г/м2) - 3,300 арк.. Мін/ Макс щільність паперу - 52/300 г/м2. Зшивання (Stapling) - Кутове, по краю листа 2точки, по центру листа 2точки буклетне. Створення готових брошюр - ТАК. Перфорація - ТАК (з PK-520). Фальцювання 2Х (по середині) - ТАК. Фальцювання 3Х (Z-тип) - ні. Фальцювання 3Х (П-тип) - ТАК. Вкладання обкладинки (Post insertion) - ні	 	183466,67	36693,33	220160	1720,00
A87JWY2	RU-513	RU-513 Модуль просування паперу (обов'язковий до FS-534/SD)	 	13866,67	2773,33	16640	130,00
A3EUW22	PK-519	PK-519 Перфоратор (2/4 точки), опція до FS-533	 	27733,33	5546,67	33280	260,00
A3ETW21	PK-520	PK-520 Перфоратор (2/4 точки), опція до FS-534	 	32000	6400	38400	300,00
A4MMWY2	SC-508	SC-508 Модуль захисту від копіювання (потрібно 2 од., якщо є DF-704)	 	57600	11520	69120	540,00
A888WY1	HD-524	HD-524 Резервний HDD (HDD mirroring) для гарантії захисту даних	 	19200	3840	23040	180,00
A9W7WY2	UK-215	UK-215 Внутрішній Wi-Fi (Remote Access та Wi-Fi)	 	19733,33	3946,67	23680	185,00
A0X9WY1	AU-102	AU-102 Пристрій ідентифікації (сканер капілярів пальця)	 	69866,67	13973,33	83840	655,00
A0W4WY3	WT-506	WT-506 Робочий стіл для розміщення пристоїв аутентифікації (AU-102)	 	8960	1792	10752	84,00
A88AWY2	EK-608	EK-608 USB інтерфейс для USB клав./кардридера	 	9706,67	1941,33	11648	91,00
A87DWY1	EK-609	EK-609 USB інтерфейс для USB клав./кардридера, bluetooth, speakers	 	19733,33	3946,67	23680	185,00
A4NRWY1	KH-102	KH-102 Тримач для клавіатури	 	6506,67	1301,33	7808	61,00
A883021	FK-514	FK-514 Факс модуль (для другої лінії факсу необх другий модуль FK-514)	 	83200	16640	99840	780,00
4614506	SP-501	SP-501 Х-штамп відсканованих оригіналів факсу (1 червона х-печатка, монтується у DF)	 	2880	576	3456	27,00
A64TWY3	KP-101	KP-101 Апаратна клавіатура на 10 клавіш	 	3520	704	4224	33,00
996908-TL-WR702N		Маршрутизатор WIFI TL-WR702N (10/100Mbps WAN/LAN, 802.11b/g/n до 150Mbps)	 	2986,67	597,33	3584	28,00
A161192100		Стилус ineo	 	4373,33	874,67	5248	41,00
4623485		Key Counter Connection	 	10880	2176	13056	102,00
996908-000040		Шнур живлення	 	320	64	384	3,00
996908-000090		Кабель UTP 3,0 м	 	213,33	42,67	256	2,00
A4MDWY1	OT-506	OT-506 Приймальний лоток (необх. за відсутності фінішера)	 	13013,33	2602,67	15616	122,00
9967003545	DK-510  	DK-510 Тумба-пiдставка	 	13653,33	2730,67	16384	128,00
A9HFWY1	PC-115	PC-115 Універсальна касета для паперу мiсткiстю 500 аркушiв (A5-А3)	 	56000	11200	67200	525,00
A9HFWY2	PC-215	PC-215 Універсальна касета для паперу мiсткiстю 2x500 аркушiв (A5-А3)	 	83733,33	16746,67	100480	785,00
A9HFWY3	PC-415	PC-415 Касета великої місткості 2500 аркушiв (тільки А4)	 	83733,33	16746,67	100480	785,00
996908-G109677		Замок касет та тонерів універсальний	 	8533,33	1706,67	10240	80,00
A9EFWY1	LU-207	LU-207 Касета великої місткості 2500 арк  (макс.SRА3,A3+), 52-256 г/м2. Не може бути встановлена разом з DK-510	 	234666,67	46933,33	281600	2200,00
A87VWY1	LU-302	LU-302 Касета великої місткості 3000 арк (макс.А4), 52-256 г/м2. Не може бути встановлена разом з DK-510	 	138666,67	27733,33	166400	1300,00
9967001961	BT-C1e	BT-C1e Додатковий лоток банерів (297 Х 1 200 мм) макс. 30 арк.	 	16533,33	3306,67	19840	155,00
A2YVWY2	JS-506	JS-506 Лоток розділення завдань	 	32000	6400	38400	300,00
A2YUWY2	FS-533	FS-533 Фінішер-степлер внутрішній. Скоби: SK-602. Сортування/ Групування зі зсувом, зшив. до 50 арк 52-90 г/м2 (Без обробки - 52-300 г/м2). Вих. міст. 500 арк. Зшивання - кутове та по краю листа 2-точкове. Перфорація (з опц. PK-519).	 	71466,67	14293,33	85760	670,00
A3EUW22	PK-519	PK-519 Перфоратор (2/4 точки) (опція до FS-533)	 	27733,33	5546,67	33280	260,00
A87GWY1	FS-536	FS-536 Фінішер-степлер (зшив. до 50 арк) Скоби: SK-602, необх. RU-513	 	104533,33	20906,67	125440	980,00
A87GWYA	FS-536SD	FS-536SD Фінішер з буклетним модулем, (зшив. до 50 арк.) Скоби: SK-602. Необх. RU-513	 	197333,33	39466,67	236800	1850,00
A87JWY2	RU-513	RU-513 Модуль просування паперу (обов'язковий до FS-536(SD) та FS-537(SD))	 	13866,67	2773,33	16640	130,00
A3ETW21	PK-520	PK-520 Перфоратор (2/4 точки) (опція до FS-536(SD))	 	32000	6400	38400	300,00
A87HWY1	FS-537	FS-537 Фінішер (зшив. до 100 арк.) Скоби: MS-10A. Необх. RU-513	 	245333,33	49066,67	294400	2300,00
A87HWYA	FS-537SD	FS-537SD Фінішер з буклетним модулем (зшив. до 100 арк.) Скоби: MS-10A. Необх. RU-513	 	352000	70400	422400	3300,00
A87JWY2	RU-513	RU-513 Модуль просування паперу (обов'язковий до FS-536(SD) та FS-537(SD))	 	13866,67	2773,33	16640	130,00
A63GWY1	ZU-609	ZU-609 Пристрій для Z-складання (опція до FS-537(SD))	 	394666,67	78933,33	473600	3700,00
A10CWY2	JS-602	JS-602 Додатковий вих. лоток до 100 арк. (опція до FS-537(SD)) (несумісний з PI-507)	 	32000	6400	38400	300,00
A8C6WY1	PI-507	PI-507 Пристрій для вкладання обкладинок. (опція до FS-537(SD)) (несумісний з JS-602)	 	97066,67	19413,33	116480	910,00
A99KW21	PK-523	PK-523 Перфоратор (2/4 точки) (опція до FS-537(SD))	 	45333,33	9066,67	54400	425,00
A4MMWY3	SC-508	SC-508 Модуль захисту від копіювання (потрібно 2 одиниці)	 	57600	11520	69120	540,00
A888WY2	HD-524	HD-524 Резервний HDD (HDD mirroring) для гарантії захисту даних	 	19200	3840	23040	180,00
A87EWY4	UK-215	UK-215 Внутрішній Wi-Fi (Remote Access та Wi-Fi) (потрібен EK-608 або EK-609)	 	19733,33	3946,67	23680	185,00
A0X9WY1	AU-102	AU-102 Пристрій ідентифікації (сканер капілярів пальця) (потрібен EK-608 або EK-609)	 	69866,67	13973,33	83840	655,00
A0W4WY3	WT-506	WT-506 Робочий стіл для розміщення AU-102	 	8960	1792	10752	84,00
A88AWY2	EK-608	EK-608 USB інтерфейс для USB клав./кардридера	 	9706,67	1941,33	11648	91,00
A87DWY2	EK-609	EK-609 USB інтерфейс для USB клав./кардридера, bluetooth, speakers	 	19733,33	3946,67	23680	185,00
A4NRWY1	KH-102	KH-102 Тримач для USB клавіатури	 	6506,67	1301,33	7808	61,00
A8WCWY1	UK-501	UK-501 Датчик виявлення подвійного листа при скануванні в ADF	 	22400	4480	26880	210,00
A883022	FK-514	FK-514 Факс модуль (для другої лінії факсу необх другий модуль FK-514)	 	83200	16640	99840	780,00
4614506	SP-501	SP-501 Перфоратор відсканованих оригіналів, 1 точка перф. (монтується до ADF)	 	2880	576	3456	27,00
A9UVWY1	CU-102	CU-102 Система додаткової фільтрації повітря	 	31466,67	6293,33	37760	295,00
A161192100		Стилус ineo	 	4373,33	874,67	5248	41,00
A64TWY3	KP-101	KP-101 Апаратна клавіатура на 10 клавіш	 	3520	704	4224	33,00
4623485		Key Counter Connection	 	10880	2176	13056	102,00
996908-TL-WR702N		Маршрутизатор WIFI TL-WR702N (10/100Mbps WAN/LAN, 802.11b/g/n до 150Mbps)	 	2986,67	597,33	3584	28,00
996908-000040		Шнур живлення	 	320	64	384	3,00
996908-000090		Кабель UTP 3,0 м	 	213,33	42,67	256	2,00
A4MDWY1	OT-506	OT-506 Приймальний лоток (необх. за відсутності фінішера)	 	13013,33	2602,67	15616	122,00
9967003545	DK-510  	DK-510 Тумба-пiдставка	 	13653,33	2730,67	16384	128,00
A9HFWY1	PC-115	PC-115 Універсальна касета для паперу мiсткiстю 500 аркушiв (A5-А3)	 	56000	11200	67200	525,00
A9HFWY2	PC-215	PC-215 Універсальна касета для паперу мiсткiстю 2x500 аркушiв (A5-А3)	 	83733,33	16746,67	100480	785,00
A9HFWY3	PC-415	PC-415 Касета великої місткості 2500 аркушiв (тільки А4)	 	83733,33	16746,67	100480	785,00
996908-G109677		Замок касет та тонерів універсальний	 	8533,33	1706,67	10240	80,00
A9EFWY1	LU-207	LU-207 Касета великої місткості 2500 арк  (макс.SRА3,A3+), 52-256 г/м2. Не може бути встановлена разом з DK-510	 	234666,67	46933,33	281600	2200,00
A87VWY1	LU-302	LU-302 Касета великої місткості 3000 арк (макс.А4), 52-256 г/м2. Не може бути встановлена разом з DK-510	 	138666,67	27733,33	166400	1300,00
9967001961	BT-C1e	BT-C1e Додатковий лоток банерів (297 Х 1 200 мм) макс. 30 арк.	 	16533,33	3306,67	19840	155,00
A2YVWY2	JS-506	JS-506 Лоток розділення завдань	 	32000	6400	38400	300,00
A2YUWY2	FS-533	FS-533 Фінішер-степлер внутрішній. Скоби: SK-602. Сортування/ Групування зі зсувом, зшив. до 50 арк 52-90 г/м2 (Без обробки - 52-300 г/м2). Вих. міст. 500 арк. Зшивання - кутове та по краю листа 2-точкове. Перфорація (з опц. PK-519).	 	71466,67	14293,33	85760	670,00
A3EUW22	PK-519	PK-519 Перфоратор (2/4 точки) (опція до FS-533)	 	27733,33	5546,67	33280	260,00
